FIRE_NAME,FIRE_SIZE,STATE,FIRE_YEAR,STAT_CAUSE_DESCR
TAILHOLT CREEK,4500.0,ID,2006,Lightning
NANNY CREEK,2362.0,MT,2006,Lightning
CIGARETTE ROCK,2271.0,MT,2006,Lightning
COUGAR,28431.0,ID,2006,Lightning
MEADOW,7200.0,ID,2006,Lightning
CUDDY,1202.0,ID,2006,Lightning
GREEN ACRES,6700.0,ID,2006,Lightning
CLARKS CANYON,15387.0,MT,2006,Equipment Use
BLACK BUTTE,33000.0,ID,2006,Lightning
CORRAL,685.0,ID,2006,Lightning
0668 - LAKE GEORGE,5550.0,OR,2006,Lightning
0570  BLACK CRATER,9400.0,OR,2006,Lightning
QUARRY - GP,1140.0,VA,2006,Debris Burning
FAMINE LAKE,4104.0,MN,2006,Lightning
ULM PEAK,4980.0,ID,2006,Lightning
BEAR GULCH II,1100.0,WA,2006,Miscellaneous
CAVITY LAKE,31830.0,MN,2006,Lightning
MOUNT CARMEL,4000.0,OK,2006,Equipment Use
REDEYE,1792.0,MN,2006,Lightning
TURTLE,2085.0,MN,2006,Lightning
RABBIT,2200.0,ID,2006,Lightning
LINDSEY BAY,1073.0,FL,2006,Lightning
JUNIPER,4014.0,FL,2006,Miscellaneous
SAUSE,1824.0,MS,2006,Lightning
SKATE,12582.0,NM,2006,Lightning
BLACK BIRD MINE WFU,1463.0,UT,2006,Lightning
MONTEZUMA 1,4191.0,AZ,2006,Arson
SAND BASIN FIRE,700.0,MT,2006,Lightning
WILLOW,1806.0,AZ,2006,Miscellaneous
103,1634.0,AZ,2006,Campfire
HUGHES LAKE FIRE,5818.0,MI,2006,Debris Burning
PLOWBOY,1234.0,ID,2006,Lightning
HUGHES EAST,2959.0,ID,2006,Lightning
DOG VALLEY,28661.3,UT,2006,Lightning
SOUTH WATER HOLLOW,1424.0,UT,2006,Lightning
SUNSET CANYON,1096.0,UT,2006,Lightning
BRINS,4317.0,AZ,2006,Smoking
ISABELLE,1190.61,WY,2006,Lightning
MAGPIE,711.0,UT,2006,Lightning
DEVILS DEN,14153.7,UT,2006,Lightning
GASH,8800.0,MT,2006,Arson
ESPERANZA,40200.0,CA,2006,Arson
RUBE,777.0,CA,2006,Lightning
KILN (BAYOU BACON),3708.0,MS,2006,Arson
NO NAME,750.0,MS,2006,Arson
SULPHUR MOUNTAIN,3739.0,AR,2006,Lightning
ELKHORN,1002.0,ID,2006,Lightning
CHESTNUT,850.0,VA,2006,Miscellaneous
MAGGIE,2097.0,CA,2006,Lightning
SHELDON PEAK,2384.0,ID,2006,Lightning
TAMARACK,4654.0,CA,2006,Lightning
BRODER WFU,1220.0,CA,2006,Lightning
BECK WFU,2270.0,CA,2006,Lightning
TINPAN,9252.0,WA,2006,Lightning
THORN CREEK,13536.0,OR,2006,Lightning
MILLARD,24000.0,CA,2006,Lightning
EMERALD,2109.0,CA,2006,Miscellaneous
PEA VINE COMPLEX,2871.0,VA,2006,Arson
HORSE CREEK,703.0,WY,2006,Lightning
BATTLE MOUNTAIN,1370.0,WY,2006,Lightning
JIM CREEK WFU,3895.0,WY,2006,Lightning
PURDY,16906.0,WY,2006,Lightning
SKEGG BRANCH,867.0,VA,2006,Arson
CARDINAL,1935.0,VA,2006,Arson
DRY CREEK,900.0,CO,2006,Debris Burning
COXES CREEK,700.0,NC,2007,Debris Burning
BRANTLEY CABIN,9071.0,OK,2007,Debris Burning
LITTLE VENUS,34581.0,WY,2006,Lightning
KEENER,855.0,KY,2007,Arson
CHANDLER FIRE,1300.0,KY,2007,Arson
GIBSON,586.0,KY,2007,Arson
FRIAR,1070.0,VA,2007,Miscellaneous
DECKERS,1212.0,MO,2007,Arson
PROMONTORY,4044.0,AZ,2007,Campfire
PLEASANT HILL,965.0,GA,2007,Lightning
HAM LAKE,75484.0,MN,2007,Campfire
TEN FIRE,1031.0,NM,2007,Lightning
HL,10131.0,NM,2007,Lightning
JUMP,1746.0,AZ,2007,Debris Burning
JOE LEWIS,575.0,NC,2007,Lightning
PINNACLE,2404.0,NC,2007,Children
DOBSON KNOB,820.0,NC,2007,Lightning
FAREWELL MUTUAL AID,521.0,MT,2007,Equipment Use
LAMPSON,577.0,NV,2007,Lightning
BIRDIE,5016.0,AZ,2007,Lightning
SLEEPING ELEPHANT,750.0,NV,2007,Lightning
RATTLESNAKE,102000.0,ID,2007,Lightning
CONCORD,1500.0,ID,2007,Lightning
JAMES,4200.0,CA,2007,Miscellaneous
WOFFORD,567.0,CA,2007,Miscellaneous
LAMPHERE,1257.0,AZ,2007,Lightning
HIGHWAY,853.0,CA,2007,Arson
