STATE,FIRE_YEAR,AVERAGE_FIRE_SIZE,average_days_to_control,average_hours_to_control,TOTAL_FIRE_SIZE,total_days_to_control,total_hours_to_control
CA,2010,20.939584487534848,1.248409775694677,32.36090817694369,120947.04000000127,3729.0,96564.94999999997
CA,2011,22.45817799579641,1.4298642533936652,36.43543803418799,192286.9200000089,2844.0,68207.13999999991
CA,2012,106.09970033295906,1.1682242990654206,31.60916011584606,764766.6399999689,2875.0,76399.33999999992
CA,2013,66.65256127478574,0.5717188134904511,15.547199023861083,581410.291999956,4221.0,114676.13999999934
CA,2014,84.21293193716532,0.7250900360144058,19.507992325135096,546878.7799999516,4228.0,111839.31999999951
CA,2015,115.23810047521668,1.244504111428092,32.25872061786441,848728.6099999709,7416.0,192132.94000000044
CO,1992,5.636838124054501,0.3865921787709497,13.270011312217187,7451.900000000051,346.0,11730.689999999993
CO,1993,28.581430868166684,0.4131812420785805,13.847770700636948,35555.299999999355,326.0,10870.500000000004
CO,1994,28.135427435387502,0.8048162230671736,23.517572877059553,70760.59999999957,1270.0,37110.729999999974
CO,1995,13.212722478576193,0.5257611241217799,16.944274004683834,20043.700000000084,449.0,14470.409999999993
CO,1996,49.85088967971484,0.6605839416058394,19.805051094890477,70040.49999999935,905.0,27132.919999999955
CO,1997,8.36315789473693,0.6367521367521367,19.42413105413105,6038.200000000063,447.0,13635.739999999996
CO,1998,10.953202614379181,0.6859060402684564,20.69524324324323,8379.200000000073,511.0,15314.479999999989
CO,1999,26.87023809523793,0.8394062078272605,23.84677462887988,20313.899999999874,622.0,17670.459999999992
CO,2000,71.51593576281806,0.7674563591022444,22.028099121706425,115784.30000000245,1231.0,35112.790000000045
CO,2001,18.171958925750527,1.656525220176141,43.773509615384576,23005.700000000168,2069.0,54629.33999999995
CO,2002,390.20618345617424,2.008361204013378,52.003352842809335,476441.74999998877,2402.0,62196.009999999966
CO,2003,18.83233278282372,1.4423076923076923,38.375927995034125,45611.90999999905,2325.0,61823.61999999998
CO,2004,25.797923664121896,1.6,42.14906577693045,33795.279999999686,1680.0,44214.37000000004
CO,2005,21.02055466666586,2.160081053698075,55.68864235055726,39413.53999999849,2132.0,54964.69000000002
CO,2006,34.87367781154978,1.0869565217391304,29.73597709923662,45893.759999999515,1425.0,38954.129999999976
CO,2007,13.108457943925297,1.9756326148078724,51.28145403377116,14026.050000000067,2108.0,54666.03000000006
CO,2008,110.3681083743855,2.4014510278113663,61.605847457627135,112023.63000000129,1986.0,50886.430000000015
CO,2009,39.62600840336094,3.373684210526316,84.5453894736842,37723.95999999961,3205.0,80318.11999999998
CO,2010,19.263199703042957,1.1951640759930915,32.0532326283988,51895.05999999773,2076.0,53048.10000000002
CO,2011,132.9368547544401,2.4868282402528976,61.18088172043005,127220.56999999919,2360.0,56898.21999999995
CO,2012,245.26527124774276,2.242258652094718,57.68380474452553,271263.3900000035,2462.0,63221.44999999998
CO,2013,41.63590909091365,0.7227366255144033,18.938793774319034,162130.23000001776,2810.0,73009.04999999987
CO,2014,40.95242122719679,1.8480801335559265,47.944123539232045,24694.309999999663,1107.0,28718.529999999995
CO,2015,38.582656514382506,2.3586337760910814,59.9562998102467,22802.35000000006,1243.0,31596.97000000001
CT,1992,2.307178217821785,,,466.0500000000006,0.0,0.0
CT,1993,3.8941747572815535,3.0,72.0,401.1,3.0,72.0
CT,1994,3.252241379310355,,,943.1500000000029,0.0,0.0
CT,1995,3.885454545454546,,,427.4000000000001,0.0,0.0
CT,1996,2.4611111111111112,,,66.45,0.0,0.0
CT,1997,7.233132530120482,,,600.35,0.0,0.0
CT,1998,4.396666666666666,,,131.89999999999998,0.0,0.0
CT,1999,5.631178451178451,,,1672.46,0.0,0.0
CT,2000,3.907142857142858,,,492.3000000000001,0.0,0.0
CT,2001,3.5995169082125607,,,745.1,0.0,0.0
CT,2002,1.7631775700934573,2.0,48.25,188.65999999999994,2.0,48.25
CT,2003,1.4421052631578941,,,136.99999999999994,0.0,0.0
CT,2004,0.8419540229885047,,,73.24999999999991,0.0,0.0
CT,2005,0.8694539249146735,,,254.74999999999935,0.0,0.0
CT,2006,1.1653225806451641,,,433.5000000000011,0.0,0.0
CT,2007,0.8490936555891239,0.0,1.0,281.05,0.0,1.0
CT,2008,5.616939890710355,1.0,26.0,2055.7999999999897,1.0,26.0
CT,2009,0.9526459143968851,,,244.82999999999947,0.0,0.0
CT,2010,1.0909808612440204,0.0,4.287735849056602,456.03000000000054,0.0,908.9999999999997
CT,2011,1.045726872246694,0.004405286343612335,26.67,237.3799999999995,1.0,26.67
CT,2012,0.8980902777777879,0.0,,517.3000000000059,0.0,0.0
CT,2015,1.1223118279569924,1.5,,417.50000000000114,6.0,0.0
DC,1992,0.13333333333333333,0.0,0.6033333333333334,0.4,0.0,1.81
DC,1993,1.4,0.0,1.214,9.799999999999999,0.0,6.069999999999999
DC,1994,1.2750000000000001,0.0,1.8850000000000002,5.1000000000000005,0.0,7.540000000000001
DC,1995,0.12,0.0,0.538,0.6,0.0,2.69
DC,1997,0.10000000000000002,0.0,0.44333333333333336,0.30000000000000004,0.0,1.33
DC,1998,0.3384615384615384,0.0,1.1515384615384616,4.3999999999999995,0.0,14.97
DC,1999,0.2625,0.14285714285714285,6.971428571428571,2.1,1.0,48.8
DC,2001,0.1,0.0,0.67,0.1,0.0,0.67
DC,2002,1.0,0.0,1.25,1.0,0.0,1.25
DC,2005,0.1,0.0,0.54,0.2,0.0,1.08
DC,2006,0.16666666666666666,0.0,0.7666666666666666,0.5,0.0,2.3
DC,2007,0.2,0.0,1.5,0.2,0.0,1.5
DC,2008,0.1,0.0,0.5,0.1,0.0,0.5
DC,2009,0.5,0.0,2.0,0.5,0.0,2.0
DC,2010,0.1,0.0,0.5,0.1,0.0,0.5
DC,2011,0.1,0.0,2.75,0.2,0.0,5.5
DC,2012,0.8800000000000001,0.0,1.468,4.4,0.0,7.34
DC,2013,0.1,0.0,0.75,0.1,0.0,0.75
DC,2014,0.2,0.0,1.5,0.2,0.0,1.5
DC,2015,0.7333333333333334,0.0,0.38999999999999996,2.2,0.0,1.17
DE,1992,41.333333333333336,0.0,1.5333333333333334,124.0,0.0,4.6000000000000005
DE,1993,1.0,,,1.0,0.0,0.0
DE,1994,48.0,0.0,0.53,96.0,0.0,0.53
DE,1995,402.88,0.0,1.32,2014.3999999999999,0.0,3.9600000000000004
DE,1997,4.92,0.2,10.108,24.6,1.0,50.54
DE,1999,253.5,0.0,3.0,507.0,0.0,3.0
DE,2000,65.0,6.0,146.5,65.0,6.0,146.5
DE,2001,10.5,0.0,1.12,10.5,0.0,1.12
DE,2002,32.56666666666661,0.0,10.0,1270.0999999999979,0.0,10.0
DE,2003,12.633333333333336,,,265.30000000000007,0.0,0.0
DE,2004,5.2111111111111095,3.0,81.5,140.69999999999996,3.0,81.5
DE,2005,11.957142857142854,0.0,6.25,167.39999999999995,0.0,6.25
DE,2007,0.1,0.5,12.75,0.2,1.0,25.5
DE,2010,3.0,,,3.0,0.0,0.0
