STATE,FIRE_YEAR,average_days_to_control,total_days_to_control
MD,2000,0.0,0.0
MD,2001,0.06666666666666668,1.0
MD,2002,0.1111111111111111,1.0
MD,2003,0.0,0.0
MD,2004,0.17647058823529413,3.0
MD,2005,0.05882352941176471,1.0
MD,2006,0.15,6.0
MD,2007,1.4,42.0
MD,2008,0.0,0.0
MD,2009,0.4545454545454545,5.0
MD,2010,0.6666666666666666,10.0
MD,2011,2.40625,308.0
MD,2012,0.03614457831325301,3.0
MD,2013,0.136,17.0
MD,2014,0.04166666666666666,5.0
MD,2015,0.053691275167785234,8.0
ME,1992,0.0845771144278607,51.0
ME,1993,0.42572741194486985,278.0
ME,1994,0.3018518518518519,163.0
ME,1995,0.10334029227557412,99.0
ME,1996,0.031746031746031744,10.0
ME,1997,0.01733102253032929,10.0
ME,1998,0.008787346221441127,5.0
ME,1999,0.019174041297935103,13.0
ME,2000,0.0469208211143695,16.0
ME,2001,0.1826722338204593,175.0
ME,2002,0.45552147239263796,297.0
ME,2003,0.3333333333333333,1.0
ME,2004,0.0962800875273523,44.0
ME,2005,0.0,0.0
ME,2006,0.08045977011494253,49.0
ME,2007,0.6666666666666666,4.0
ME,2008,0.6036036036036037,268.0
ME,2009,0.0,0.0
ME,2010,0.3333333333333333,2.0
ME,2011,0.09090909090909093,33.0
ME,2012,0.023214285714285715,13.0
ME,2013,0.01583710407239819,7.0
ME,2014,0.027027027027027032,9.0
ME,2015,0.04477611940298507,18.0
MI,1992,0.9576547231270358,588.0
MI,1993,0.5961538461538461,155.0
MI,1994,0.7663551401869159,492.0
MI,1995,1.0320512820512822,644.0
MI,1996,0.8403141361256544,321.0
MI,1997,0.05128205128205128,6.0
MI,1998,0.25443786982248523,43.0
MI,1999,0.2602739726027397,38.0
MI,2000,0.12389380530973453,14.0
MI,2001,0.0971563981042654,41.0
MI,2002,0.6547231270358306,201.0
MI,2003,1.6413793103448275,238.0
MI,2004,0.13186813186813187,12.0
MI,2005,0.8582089552238806,115.0
MI,2006,0.05451127819548872,29.0
MI,2007,0.123046875,63.0
MI,2008,0.016129032258064516,2.0
MI,2009,0.1987951807228916,33.0
MI,2010,0.2152466367713005,48.0
MI,2011,0.14705882352941174,45.0
MI,2012,0.26019690576652604,185.0
MI,2013,0.2945054945054945,134.0
MI,2014,0.3371212121212121,89.0
MI,2015,0.16085271317829458,83.0
MN,1992,0.05592105263157895,17.0
MN,1993,0.045045045045045036,5.0
MN,1994,0.049180327868852465,24.0
MN,1995,0.5085910652920962,296.0
MN,1996,0.148068669527897,69.0
MN,1997,0.13333333333333333,98.0
MN,1998,0.3918269230769231,326.0
MN,1999,0.08868894601542418,69.0
MN,2000,0.05377720870678617,42.0
MN,2001,0.18981481481481485,82.0
MN,2002,0.2352941176470588,224.0
MN,2003,0.07208872458410351,78.0
MN,2004,0.18592964824120606,111.0
MN,2005,0.20967741935483872,143.0
MN,2006,0.6981818181818182,576.0
MN,2007,0.26405451448040884,155.0
MN,2008,0.2619589977220957,115.0
MN,2009,0.0630841121495327,27.0
MN,2010,0.16602809706257982,130.0
MN,2011,0.27591836734693875,338.0
MN,2012,0.18481123792800705,421.0
MN,2013,0.10502692998204667,117.0
MN,2014,0.094715852442672,95.0
MN,2015,0.2287117903930131,419.0
MO,1992,0.10062893081761007,16.0
MO,1993,0.008849557522123894,1.0
MO,1994,0.20095693779904306,42.0
MO,1995,0.10778443113772457,36.0
MO,1996,0.13186813186813187,24.0
MO,1997,0.07377049180327869,9.0
MO,1998,0.11864406779661014,21.0
MO,1999,0.09411764705882353,24.0
MO,2000,0.1702127659574468,32.0
MO,2001,0.2768595041322314,67.0
MO,2002,0.16521739130434782,19.0
MO,2003,0.11920529801324505,18.0
MO,2004,0.13612565445026178,26.0
MO,2005,0.2259414225941423,54.0
MO,2006,0.4570135746606335,101.0
MO,2007,0.7365269461077845,123.0
MO,2008,0.32857142857142857,23.0
MO,2009,0.19574468085106386,46.0
MO,2010,0.21428571428571427,42.0
MO,2011,0.12567567567567567,93.0
MO,2012,0.5844748858447488,128.0
