STATE,FIRE_YEAR,AVERAGE_FIRE_SIZE,TOTAL_FIRE_SIZE
ME,1999,1.5583994126284928,1061.2700000000036
ME,2000,1.2889595375722582,445.98000000000127
ME,2001,2.329740394600185,2243.539999999978
ME,2002,1.1807981927710909,784.0500000000043
ME,2003,1.3756410256410303,858.400000000003
ME,2004,1.7210064239828735,803.7100000000021
ME,2005,1.5354661016949211,724.7400000000027
ME,2006,2.955617977528072,1841.3499999999888
ME,2007,1.0327027027027054,496.7300000000012
ME,2008,1.1794635193133085,549.6300000000018
ME,2009,0.9829813664596276,474.78000000000014
ME,2010,0.5877029702970297,296.79
ME,2011,0.45942465753424505,167.68999999999946
ME,2012,0.8390178571428583,469.85000000000076
ME,2013,1.6153603603603628,717.220000000001
ME,2014,0.6575675675675664,218.96999999999957
ME,2015,1.4551231527093615,590.7800000000008
MI,1992,4.865472312703564,2987.3999999999883
MI,1993,3.847328244274812,1008.0000000000008
MI,1994,10.410248447204966,6704.199999999998
MI,1995,7.770813397129184,4872.299999999998
MI,1996,7.5691709844559485,2921.6999999999957
MI,1997,4.6788135593220375,552.1000000000004
MI,1998,23.28823529411764,3958.9999999999986
MI,1999,66.874,10031.1
MI,2000,52.26869565217394,6010.900000000003
MI,2001,3.4510589622641525,1463.2490000000007
MI,2002,3.140909090909094,967.4000000000012
MI,2003,9.42007866666668,7065.059000000008
MI,2004,5.878222698072793,2745.129999999995
MI,2005,7.04806864274571,4517.812
MI,2006,14.665112359550614,7831.170000000029
MI,2007,44.758147286821455,23095.203999999867
MI,2008,5.884954954954942,2612.9199999999946
MI,2009,6.603765432098753,3209.4299999999944
MI,2010,20.635976027397327,12051.41000000004
MI,2011,5.930355987055013,1832.4799999999993
MI,2012,39.840632911392326,28326.68999999995
MI,2013,2.1477362637362667,977.2200000000017
MI,2014,2.5457196969696985,672.0700000000004
MI,2015,7.295391969407261,3815.489999999998
MN,1992,18.630944444444314,30182.129999999786
MN,1993,14.00418928833451,19087.709999999937
MN,1994,19.511722689075434,37150.31999999963
MN,1995,26.613119584055315,46067.30999999974
MN,1996,16.914349315068335,29633.939999999726
MN,1997,8.191748417721481,20708.739999999903
MN,1998,19.86242926839116,49139.65000999973
MN,1999,15.550809275910893,32858.85999999972
MN,2000,26.290448498669523,69170.16999999952
MN,2001,17.43505651846247,23136.319999999698
MN,2002,31.563408533594604,64357.789999999375
MN,2003,47.547685774947865,156764.72000000312
MN,2004,22.949698340874683,45646.949999999735
MN,2005,12.995237268518453,22455.769999999884
MN,2006,28.88149581172696,72405.90999999951
MN,2007,92.00031337437237,164404.5600000034
MN,2008,18.19486695278956,21197.019999999837
MN,2009,9.501954582319607,11715.910000000078
MN,2010,17.195344578313,35680.33999999948
MN,2011,112.60459919028477,139066.68000000168
MN,2012,28.279320261437753,64901.03999999965
MN,2013,19.378507067137765,21936.469999999958
MN,2014,3.9608747514910334,3984.6399999999794
MN,2015,15.752159956474323,28952.469999999816
MO,1992,17.09285714285714,28716.0
MO,1993,16.535060639470778,14997.3
MO,1994,22.557187305538267,36249.4
MO,1995,24.36718446601942,50196.40000000001
MO,1996,19.27381489841987,8538.300000000003
MO,1997,18.218949771689502,23939.7
MO,1998,21.078310940499037,10981.8
MO,1999,29.484136212624588,35498.9
MO,2000,25.608172362555727,17234.300000000007
MO,2001,19.320248868778283,17079.1
MO,2002,30.64880597014925,20534.7
MO,2003,9.635352941176453,3276.019999999994
MO,2004,26.76706840390884,8217.490000000014
MO,2005,44.04070217917677,18188.81000000001
MO,2006,54.97547511312222,24299.160000000025
MO,2007,27.23986615678789,14246.450000000063
MO,2008,43.630588235294105,5933.7599999999975
MO,2009,75.29238493723851,17994.880000000005
MO,2010,73.83418367346941,14471.500000000005
MO,2011,43.03317567567567,31844.55
MO,2012,84.71719457013576,18722.500000000007
MO,2013,9.407215496368037,3885.18
MO,2014,17.950279776179062,22455.80000000001
MO,2015,15.635553966189873,12023.741000000013
MS,1992,13.584211701652524,60830.1
MS,1993,13.476537982565382,54108.3
MS,1994,16.233164481525627,54478.5
MS,1995,13.624559294871796,68013.8
MS,1996,20.65969937030266,101707.7
MS,1997,11.62615882141574,32355.6
MS,1998,11.582593457943926,39658.8
MS,1999,12.164624724061811,66126.9
MS,2000,6.695791583165581,53459.199999994
MS,2001,11.16997922437657,32258.899999999536
MS,2002,12.150529661016886,34410.29999999983
MS,2003,12.934788290642967,24744.25
MS,2004,14.866081081081074,41803.419999999984
MS,2005,15.795795454545456,55601.2
MS,2006,23.6986716067233,131124.75
MS,2007,18.983964582580413,52528.63000000001
MS,2008,18.02943452380953,36347.34000000002
MS,2009,13.735681586978636,27004.35
MS,2010,12.490676691729329,36547.720000000016
MS,2011,17.983667905824046,29025.640000000014
MS,2012,10.446059113300493,12723.3
MS,2013,14.795631720430114,22015.90000000001
MS,2014,14.944064748201438,33235.6
MS,2015,16.669934024505178,35373.6
MT,1992,23.502874543240143,38591.720000000314
MT,1993,16.9561372812921,12598.410000000029
MT,1994,89.03798592493472,265689.3500000052
MT,1995,23.939115969581515,25183.949999999746
MT,1996,104.78697942799865,208840.4500000013
MT,1997,11.423091641490483,11343.130000000048
MT,1998,53.09443163960177,101357.26999999977
MT,1999,56.227544279559744,117459.34000000027
MT,2000,338.90457578253086,822860.3099999848
