STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
FL,2006,0.25,A,2006-05-25
SD,2006,0.25,A,2006-06-18
NE,2006,0.25,A,2006-06-09
CA,2006,0.25,A,2006-02-14
AZ,2005,0.25,A,2005-07-20
AZ,2005,0.25,A,2005-07-29
CA,2006,0.25,A,2006-06-04
GA,2006,0.25,A,2006-06-23
NM,2006,0.25,A,2006-06-04
NM,2006,0.25,A,2006-05-19
NM,2006,0.25,A,2006-06-27
NM,2006,8.5,B,2006-06-02
AZ,2006,0.25,A,2006-06-29
CA,2006,8.75,B,2006-06-22
WY,2006,0.25,A,2006-06-20
CA,2006,0.25,A,2006-06-26
CA,2006,0.25,A,2006-06-28
CA,2006,0.25,A,2006-05-28
CA,2006,0.25,A,2006-06-26
CA,2006,0.25,A,2006-06-26
AZ,2006,0.25,A,2006-03-05
NM,2006,0.25,A,2006-06-26
AZ,2006,0.25,A,2006-06-29
CA,2006,0.25,A,2006-06-29
NM,2006,0.25,A,2006-07-02
NM,2006,0.25,A,2006-07-04
CA,2006,0.25,A,2006-06-25
AZ,2006,0.25,A,2006-07-02
NM,2006,0.25,A,2006-06-06
OR,2006,0.25,A,2006-07-01
NC,2006,0.25,A,2006-05-24
NC,2006,0.25,A,2006-06-23
CA,2006,0.25,A,2006-06-27
CA,2006,0.25,A,2006-06-28
AZ,2006,0.25,A,2006-06-16
CA,2006,0.25,A,2006-06-26
NM,2006,0.25,A,2006-07-03
NM,2006,0.25,A,2006-07-02
NM,2006,0.25,A,2006-06-11
OR,2006,0.25,A,2006-06-26
SD,2006,0.25,A,2006-06-30
AZ,2006,0.25,A,2006-06-29
AZ,2006,0.25,A,2006-05-17
AZ,2006,0.25,A,2006-06-29
AZ,2006,0.25,A,2006-06-07
AZ,2006,0.25,A,2006-05-17
NM,2006,0.25,A,2006-06-28
NM,2006,0.25,A,2006-06-30
NM,2006,0.25,A,2006-07-03
AZ,2006,0.25,A,2006-05-31
AZ,2006,0.25,A,2006-06-06
CA,2006,9.0,B,2006-06-25
AZ,2006,9.0,B,2006-03-22
CO,2006,0.25,A,2006-06-04
CA,2006,9.7,B,2006-06-29
CO,2006,0.25,A,2006-06-19
CO,2006,0.25,A,2006-06-27
CO,2006,0.25,A,2006-07-03
CA,2006,0.25,A,2006-07-08
CA,2006,0.25,A,2006-06-26
CA,2006,0.25,A,2006-06-27
MT,2006,0.25,A,2006-07-06
MT,2006,0.25,A,2006-07-07
ID,2006,0.25,A,2006-07-10
ID,2006,0.25,A,2006-06-25
AZ,2006,0.25,A,2006-04-22
CA,2006,0.25,A,2006-06-29
CA,2006,0.25,A,2006-07-10
NM,2006,0.25,A,2006-06-06
SD,2006,0.25,A,2006-07-08
CA,2006,0.25,A,2006-06-27
SD,2006,0.25,A,2006-07-12
CA,2006,0.25,A,2006-07-09
NM,2006,0.25,A,2006-07-09
CA,2006,0.25,A,2006-07-09
CA,2006,0.25,A,2006-07-09
CA,2006,0.25,A,2006-07-09
NV,2006,0.25,A,2006-07-05
ID,2006,0.25,A,2006-07-07
OR,2006,0.25,A,2006-05-05
NM,2006,0.25,A,2006-07-13
CA,2006,0.25,A,2006-06-29
CA,2006,0.25,A,2006-06-28
