STATE,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
MS,0.25,A,2005/11/18
MS,0.25,A,2005/11/24
AZ,0.25,A,2005/5/4
AZ,0.25,A,2005/4/8
CA,0.25,A,2006/1/8
KY,0.25,A,2006/3/2
CA,0.25,A,2006/1/22
NC,0.25,A,2006/3/4
NC,0.25,A,2006/3/5
CA,0.25,A,2006/2/14
MO,0.25,A,2006/3/1
SC,0.25,A,2006/1/14
AZ,0.25,A,2006/1/28
MO,0.25,A,2006/3/2
SC,0.25,A,2006/2/10
TX,0.25,A,2006/1/8
KY,0.25,A,2006/2/24
AR,9.5,B,2006/3/7
NM,0.25,A,2006/2/28
NC,0.25,A,2006/3/13
FL,0.25,A,2006/3/4
NC,0.25,A,2006/3/15
SC,9.7,B,2006/2/28
AZ,0.25,A,2006/3/25
SC,9.87,B,2006/3/17
SC,9.58,B,2006/3/18
NC,0.25,A,2006/2/26
KY,0.25,A,2006/3/5
FL,0.25,A,2006/3/15
MI,0.25,A,2006/3/17
MI,0.25,A,2006/4/11
KY,0.25,A,2006/4/14
AZ,0.25,A,2005/5/20
AZ,0.25,A,2005/6/21
GA,9.7,B,2006/4/15
MS,9.5,B,2006/3/9
GA,0.25,A,2006/4/13
GA,0.25,A,2006/4/14
GA,99,C,2006/4/13
MO,0.25,A,2006/3/30
MO,0.25,A,2006/3/30
AZ,0.25,A,2006/4/4
OK,0.25,A,2006/4/15
AZ,0.25,A,2006/4/8
SC,0.25,A,2006/4/19
NM,0.25,A,2006/5/6
OR,0.25,A,2006/5/2
SC,0.25,A,2005/2/18
NC,0.25,A,2006/3/4
NM,0.25,A,2006/5/13
AZ,0.25,A,2006/5/17
AZ,0.25,A,2006/5/19
AZ,0.25,A,2006/5/19
NM,0.25,A,2006/5/16
NM,0.25,A,2006/5/14
CA,0.25,A,2006/4/9
ID,0.25,A,2006/5/19
AZ,0.25,A,2006/5/21
NM,0.25,A,2006/5/15
AZ,0.25,A,2006/5/18
CA,0.25,A,2006/4/29
MT,0.25,A,2006/5/16
NM,0.25,A,2006/5/18
CA,0.25,A,2006/5/13
MT,0.25,A,2006/6/1
NM,0.25,A,2006/5/22
NM,0.25,A,2006/5/23
FL,0.25,A,2006/4/7
NM,0.25,A,2006/6/2
MT,0.25,A,2006/4/23
FL,0.25,A,2006/4/18
NM,0.25,A,2006/5/23
